PU-Name,Latitude,Longitude,APC,LP,PDP,NNPP
"IMAKHIZE PLAY GROUND,  OTUO I",7.1900009,6.0078436,52,49,95,0
"IMAKHIZE PLAY GROUND,  OTUO I",7.1900009,6.0078436,97,24,94,0
"IMAKHIZE PLAY GROUND,  OTUO I",7.1900009,6.0078436,101,77,66,0
"IMAKHIZE PLAY GROUND,  OTUO I",7.1900009,6.0078436,102,62,58,1
"OSIEKEPA TOWN HALL,  OTUO",7.1996868,6.0050732,92,53,68,0
"OSIEKEPA TOWN HALL,  OTUO",7.1996868,6.0050732,97,78,67,0
"OSIEKEPA TOWN HALL,  OTUO",7.1996868,6.0050732,97,91,57,0
"IMAROHE TOWN HALL,  OTUO",7.0429329,6.170109,68,52,32,0
"IMAROHE TOWN HALL,  OTUO",7.0429329,6.170109,85,44,34,0
"IMOVIE TOWN SQUARE,  OTUO",7.1977013,6.0030897,94,45,147,0
"AMOHON QUARTERS,  OTUO",7.2028551,6.0023991,99,24,94,0
"OGHOLUGBO PRIMARY SCHOOL,  OTUO",7.1856224,6.0077432,87,5,55,0
"OGHOLUGBO PRIMARY SCHOOL,  OTUO",7.1856224,6.0077432,17,1,23,0
"AGO-OGBODO PRIMARY SCHOOL,  OTUO",7.1796461,6.0032743,124,14,36,0
"IVBIOLWCO PIMARY SCHOOL,  ERAH  I",7.0409292,6.175142,52,36,54,0
"IVBIOLWCO PIMARY SCHOOL,  ERAH  I",7.0409292,6.175142,48,37,58,0
"IVBIOLWCO PIMARY SCHOOL,  ERAH  I",7.0409292,6.175142,52,28,45,2
"IVBIOLWCO PIMARY SCHOOL,  ERAH  I",7.0409292,6.175142,41,8,43,0
"ESWRIRI PRIMARY SCHOOL , ERAH",7.0409292,6.175142,73,118,66,0
"ESWRIRI PRIMARY SCHOOL , ERAH",7.0409292,6.175142,30,53,50,1
"ESWRIRI PRIMARY SCHOOL , ERAH",7.0409292,6.175142,66,1,34,0
"NEAR  BAWA'S COMPOUND,  IVBIARO",7.0429329,6.170109,158,6,162,0
"NEAR  BAWA'S COMPOUND,  IVBIARO",7.0429329,6.170109,100,11,86,0
"NEAR  BAWA'S COMPOUND,  IVBIARO",7.0429329,6.170109,193,2,131,0
"EMOKPAERE PRIMARY SCHOOL,  IVBIARO",7.0429329,6.170109,142,25,119,0
"USUN PRIMARY SCHOOL,  IVBIARO  I",7.0409292,6.175142,94,2,36,0
"USUN PRIMARY SCHOOL,  IVBIARO  II",7.0409292,6.175142,67,7,53,0
"USUN PRIMARY SCHOOL,  IVBIARO  III",7.0409292,6.175142,76,8,43,0
"EMOKPAERE PRIMARY SCHOOL,  OVBIARO",6.9063395,5.9367961,122,23,88,0
"NEAR CUSTOMARY COURT,  WARRAKE",7.0402391,6.1235848,281,20,29,0
"SPACE BY CUSTOMARY COURT,  WARRAKE",6.9878267,6.1887626,199,14,44,0
"NEAR COCO PRODUCE STORE,  WARRAKE",7.2794586,6.3527502,199,7,58,0
"UGBEVBOJE PRIMARY SCHOOL, WARRAKE",7.0024778,6.1716453,210,11,48,0
"UGBEVBOJE PRIMARY SCHOOL, WARRAKE",7.0024778,6.1716453,0,0,0,0
"MARKET SQUARE B/W AFOKOSO,  WARRAKE",6.9878267,6.1887626,130,3,38,0
"AGBALOSUN PRIMARY SCHOO,  WARRAKE",7.0615463,6.2568326,134,2,43,0
"AGBALOSUN PRIMARY SCHOO,  WARRAKE",7.0615463,6.2568326,101,11,42,0
"MARKET SQUARE B/W UZOFOR,  WARRAKE",6.9878267,6.1887626,131,1,23,0
"MARKET SQUARE B/W UZOFOR,  WARRAKE",6.9878267,6.1887626,143,5,52,0
"MARKET SQUARE B/W UZOFOR,  WARRAKE",6.9878267,6.1887626,230,3,44,0
OZALLA PRIMARY SCHOOL OZALLA  IV,6.8033003,6.0205112,58,55,64,0
"OKPO PRIMARY SCHOOL, UHONMORA  II",6.8669618,5.9503907,38,56,60,0
"BY OMUEBEN RD., UHONMORA",6.8573452,5.9462552,52,55,71,1
"UGBUBEZI P/SCHOOL, UGBUBEDO  II",6.874061,5.873391,0,71,3,3
"ETEASEME PRIMARY SCHOOL,  UKHUSE-OSI       I",6.5198021,6.1314928,92,37,99,0
"ETEASEME PRIMARY SCHOOL , UKHUSE-OSI       II",6.524527,6.1384299,159,22,92,0
"ETEASEME PRIMARY SCHOOL,  OKAGBARO OHIA UKHUSE  I",6.9010969,5.9294981,118,12,87,0
"AWEKA PRIMARY SCHOOL,  UKHUSE    II",6.5283582,6.1478806,71,30,68,0
"OWARA PRIMARY SCHOOL,  UKHUSE   I",7.0177303,5.922575,62,16,73,0
"OWARA PRIMARY SCHOOL,  UKHUSE    II",7.0177303,5.922575,26,13,57,0
UGIAMWEN - UGIAMWEN P/SCHOOL,6.6799927,6.0885238,26,111,17,0
UKPOGO- UKPOGO P/SCHOOL,6.5129074,6.1948138,43,75,28,0
EHOR - ARUOSA PRIMARY SCHOOL,6.615074,5.980078,21,91,17,0
EHOR - OGBE P/SCHOOL,6.6074437,5.9798137,16,141,21,3
EHOR - EGUADA P/SCHOOL,6.6195931,5.9950161,26,75,20,0
ABUMERE ABUMERE P/SCHOOL,6.698173,6.038273,5,18,4,0
"OKEMUEN,  OKEMUEN P/SCHOOL",6.682792,5.9449379,6,27,38,0
"UGBIYAYA,  UGBIYAYA P/SCHOOL",6.684607,5.9951914,46,23,38,3
"UGIEGHUDU,  ESIGIE P/SCHOOL",6.4107514,5.5528969,27,35,23,5
"EGBISI,  EGBISI (OPEN SPACE)",6.3499241,5.6172603,4,11,19,0
"UGIEGHUDU,  IDIA P/SCHOOL",6.6074437,5.9798137,7,56,57,0
"UGIEGHUDU,  TOWN HALL",6.5365947,6.0379544,5,69,32,0
"OBAZAGBON,  OBAZAGBON P/SCHOOL",6.516238,6.0766349,44,26,23,1
"UHI , IDUNMWUNOGO P/SCHOOL",6.6074437,5.9798137,32,89,7,0
UHI- AKUGBE PRIMARY SCHOOL,6.2519628,5.7311618,40,105,25,0
ERHIBORHIBO - ERHIBORHIRO PRIMARY SCHOOL,6.601275,6.003525,6,89,10,1
IGIEDUMA - ODOGBO PRIMARY SCHOOL,6.590531,5.952729,28,65,50,1
"IRIWE,  OPEN SPACE",6.295119,6.0375439,34,18,20,0
ERUA -OGISO PRIMARY SCHOL,6.5894992,5.9471401,51,88,17,1
UTENI - UTERI PRIMARY SCHOOL,6.576425,5.9276289,23,50,2,0
UGHA ERE PRIMARY SCHOOL,6.5483713,5.8778468,34,95,39,1
OBASOGIE - OBASOGIE PRIMARY SCHOOL,6.5661888,5.8914037,53,100,26,0
"ORHUA,  ORHUAKHIDE PRIMARY SCHOOL",6.770046,5.983803,49,101,74,1
"ORHUA,  OLD R.C.M.",6.682792,5.9449379,57,69,42,0
"OKE,  IDIA  PRIMARY SCHOOL",6.698797,5.900927,59,100,31,2
"OKE,  OLD R.C.M. P/SCHOOL",6.682792,5.9449379,54,122,28,2
"IRHUE,  OSARO PRIMARY SCHOOL",6.6881146,5.9382865,55,93,20,0
UMOKPE - UMOKPE PRIMARY SCHOOL,6.682792,5.9449379,81,59,66,0
EKPAN - EKPAN PRIMARY SCHOOL,6.682792,5.9449379,38,41,63,0
AZAGBA - ARUOSA PRIMARY SCHOOL,6.3759129,5.7411826,21,324,47,7
IGUOMO - IGUOMO PRIMARY SCHOOL,6.3454064,5.7333554,22,346,5,2
IGUE-UWANGUE UWANGUE P/SCHOOL,6.3928649,5.8312039,20,26,37,2
"IRIGHON,  ADAGBAFI PRIMARY SCHOOL",6.368683,5.787819,29,108,10,5
IGUOVBIAHIANMWEN -AIBUEKU P/SCHOOL,6.4960382,5.8509064,6,53,26,2
OKHUO - HATMAN ESTATE,6.3227681,5.6260585,4,39,35,4
"URHOKUOSA, OKUOSA P/SCHOOL",6.353232,5.703973,13,106,23,0
EVBUOSA - OPEN SPACE,6.4817228,5.6088853,39,83,7,0
IGUOVBIOBO -OBASOGIE P/SCHOOL,6.2993524,5.6301646,85,80,37,0
AHOR - AKENZUA P/SCHOOL,6.415949,5.7178903,7,49,16,5
"EKOSE,  EWEDO PRIMARY SCHOOL",6.4322124,5.7385183,11,124,6,4
ORIOR - OWEGIE PRIMARY SCHOOL,6.3373943,5.605609,4,169,10,2
EVBU-IYAMU -TOWN HALL,6.4817999,5.7510475,15,30,4,1
EYAEN -EYAEN P/SCHOOL,6.3736786,5.6913099,18,486,13,3
"UZALA , UZALA P/SCHOOL",6.4961235,5.7498837,5,149,23,1
IDUNMWUNGHA - ASE PRIMARY /SCHOOL,6.6341831,5.9304056,4,152,11,4
"AYEN,  ADOLOR P/SCHOOL",6.6341831,5.9304056,3,129,35,0
"EGUAEHOLOR , ISI PRIMARY SCHOOL",6.6791516,6.2899659,82,29,63,0
"EGUAEHOLOR,  ELEIHOR G/SCHOOL",6.3760356,6.1022615,20,31,61,0
"EKUDO,  TOWN HALL",6.3704987,5.6173458,0,0,0,0
"OHE,  OZUA P/SCHOOL",6.4242229,6.048091,27,47,58,2
"OKHUOKHUO,  OVIAWE PRIMARY SCHOOL",6.413101,6.066377,30,73,70,0
OBANISI - ISI P/SCHOOL,6.3760356,6.1022615,22,10,19,0
UVBENISI -UVBENISI P/SCHOOL,6.4055484,6.0393906,38,50,18,0
OGBAHU OGBAHU TOWN HALL,6.2993524,5.6301646,41,54,13,0
"OGHADA,  OGHADA G/S",6.3760356,6.1022615,40,72,11,0
"OGHADA , OGHADA P/SCHOOL",6.3760356,6.1022615,21,93,20,2
"OGHADA,  UGBEZE P/SCHOOL",6.3760356,6.1022615,119,65,22,3
IZIKHIRHI ALAGHODARO P/SCHOOL,6.2899684,5.5860162,85,39,48,0
IGUOGBE - IGUOGBE P/SCHOOL,6.3663113,5.9566069,5,53,65,0
"ILOBI , ILOBI PRIMARY SCHOOL",6.3776989,5.954504,38,50,50,0
OKUOKHUO -OKUOKHUO TOWN HALL,6.472543,5.903423,14,72,16,0
"EVBOWE,  EGHOSA PRIMARY SCHOOL",6.3760356,6.1022615,0,0,0,0
"EWAN,  EWAN TOWH HALL",6.498344,5.85164,30,38,22,0
"IGUAGBAN,  IGUAGBAN P/SCHOOL",6.3436206,5.93575,14,52,48,0
"EVBOZOGBO,  EVBOZOGBO P/SCHOOL",6.335837,5.958732,53,92,6,1
IGUEHANA - IGUEHANA P/SCHOOL,6.3274229,5.903636,53,92,6,1
"ERHUENEHIAN,  ERHUENEHIAN P/SCHOOL",6.331365,5.867975,0,0,0,0
"URHOKUOSA,  NOWA EPEN-IDE P/SCHOOL",6.3377608,5.6020585,10,78,17,3
"EVBUENEK,  EVBENEKI PRIMARY SCHOOL",6.3611,5.896078,30,58,25,0
"OBADAN,M OBADAN MIX SEC. SCHOOL",6.3298649,5.633975,26,70,27,8
"IDIBO,  IDIBO PRIMARY SCHOOL",6.41976,5.863473,85,42,16,0
EVBOHUAN - EVBOHUAN  PRIMARY SCHOOL,6.426114,5.8990349,6,69,64,3
"ADESAGBON,  ADESAGBON P/SCHOOL",6.3377608,5.6020585,62,35,27,0
"UDENI, AITEGUOSA P/SCHOOL",6.4090948,5.6711459,26,109,2,0
"OKHUAIHE,  OKEZE P/SCHOOL",6.353232,5.703973,29,114,12,1
"ADUHANHAN,  ADUHANHAN P/SCHOOL",6.3221,5.7961,5,131,10,0
"EKHORNUWAYA,  OPEN SPACE",6.3654338,5.6851194,8,207,10,2
"EKHORNIGUOKUEN,  ARUOSA P/SCHOOL",6.4274053,5.553987,7,145,8,0
"EMUHEN,  EMUHEN PRIMARY SCHOOL",6.278443,5.816416,11,45,17,1
"UGONOBA , AYOBAHAN P/SCHOOL",6.3377608,5.6020585,11,90,37,5
"UGONEKI,  UGONEKI P/SCHOOL",6.302628,5.877803,12,137,48,5
"UVBE,  UVBE PRIMARY SCHOOL",6.289817,5.951437,12,154,37,1
"UGBOGIRI,  OSULA P/SCHOOL",6.2929469,5.9203434,8,2,5,0
"UGBOGIOBO, COMMUNITY PRIMARY HEALTH CARE CENTER",6.4514668,5.5929373,39,27,10,0
"OPEN SPACE - IMIEZUA MARKET SQUARE, ENWAN",7.275279,6.1290444,60,107,95,1
"OPEN SPACE - IMIEZUA NEW MATERNITY, ENWAN",7.275279,6.1290444,66,67,61,0
ENWAN OPEN SPACE - BY CHURCH OF CHRIST NEW SITE ENWAN,7.283333,6.133333,24,57,40,0
"ATTE PRY SCHOOL, ODIDA QTRS",7.2113,6.2325,71,53,50,0
"IKPESHI, UDUGBUREUBO TOWN HALL",7.1508349,6.1750996,37,103,92,0
"IKPESHI, HEALTH CENTER I",7.2798473,6.1394745,8,121,39,0
OPEN SPACE FRONT OF ERIKITOLA'S COMPOUND,7.452603,6.050806,152,56,34,0
OPEN SPACE FRONT OF OWOLABI'S HOUSE,7.452603,6.050806,94,55,33,0
"OPEN SPACE -IBILLO, BOLADE'S COMPOUND UFOEGUA QTRS",7.4562741,5.9822662,154,33,38,0
OPEN SPACE - FRONT OF OMOTORIOGUN COMPOUND,7.452603,6.050806,184,42,26,0
"IBILLO, OPEN SPACE - FRONT OF NASCO COMPOUND",7.452603,6.050806,70,13,16,0
"IBILLO, OPEN SPACE - MARKET SQR II",7.452603,6.050806,60,28,87,1
"IBILLO, OPEN SPACE - FRONT OF GARUBA'S COMP",7.452603,6.050806,73,41,76,0
"IBILLO, OPEN SPACE - AGBABIAKA'S HOUSE",7.452603,6.050806,82,80,17,0
"IBILLO, CUSTOMARY COURT",7.452603,6.050806,41,37,25,1
"IBILLO, OPEN SPACE -FRONT OF EKUNDAYO FAMILY COMP.",7.4562741,5.9822662,94,68,35,0
"EKOR, OPEN SPACE - FRONT OF AJOGUN'S COMP",7.452603,6.050806,63,39,10,0
"OPEN SPACE OPPOSITE BELLO'S COMP, IKIRAN ILE",7.452603,6.050806,73,58,9,0
UGBOGBO NEAR OMOKHIDES HOUSE II,7.291651,6.1023468,76,20,8,0
"COMPREHENSIVE HIGH SCH, IGARRA",7.2915582,6.0949678,28,120,23,0
"LOCAL GOVT EDU AUTHORITY, IGARRA",7.5525477,6.2370077,43,78,28,0
"IRETUTU PRY SCHOOL, IGARRA",7.2935608,6.1021262,53,40,15,0
"LAMPESE IKPAKUMU, HALLELUJAH OPEN SPACE",7.5474119,6.0891032,15,69,42,0
"LAMPESE, CHIEF UDUZELI'S OPEN SPACE",7.5474119,6.0891032,22,62,1,0
"LAMPESE, IZAZI QUARTERS OPEN SPACE",7.5474119,6.0891032,11,19,9,0
"IMOGA, OKUTU PRIMARY SCHOOL",7.5058838,6.0881481,73,6,44,0
"OPEN SPACE, IMOGA OLD MARKET",7.5474119,6.0891032,89,16,49,0
"OPEN SPACE BY IMOGA, LAWANSON.",7.5474119,6.0891032,70,8,70,1
"OPEN SPACE -MAKEKE, BY OGBOYARA SQR, OPPOSITE ANGLICAN CHURCH",7.3415685,6.1845209,68,45,37,1
"OPEN SPACE BY OJIRAMI DAM, ILETEJU MKT SQUARE",7.3140873,6.1806081,34,120,14,0
"OPEN SPACE -OJIRAMI PETESHI, ODOKEME QTRS",7.3140873,6.1806081,23,97,2,0
"OPEN SPACE -OJIRAMI AFE, ODIKPAIGBE QTRS",7.3140873,6.1806081,28,37,13,0
"OPEN SPACE, , OJIRAMI AFE, AFEKHAFE QTRS I",7.3140873,6.1806081,55,33,4,0
"OPEN SPACE, OLD MARKET, OSOSO",7.4172119,6.2626667,31,30,17,1
OPEN SPACE BY UKHEMOFULE,7.4172119,6.2626667,30,19,29,1
OPEN SPACE -OBEH-TITI,7.4172119,6.2626667,4,22,7,0
OPEN SPACE -OSOSO OKE SHEGUN,7.4152065,6.3013432,23,100,7,0
"OPEN SPACE BY EGBE OBAKAH, OSOSO",7.40656,6.2468873,20,14,5,0
"USOMO PRY SCH, SOMORIKA",7.3751243,6.0891032,22,28,88,0
"L.E.A PRY SCH., SOMORIKA",7.3751243,6.0891032,17,25,109,1
OPEN SPACE BY EGBABURA,7.3751243,6.0891032,0,0,0,0
"OPEN SPACE BY TOWN HALL, SASARO.",7.3751243,6.0891032,31,13,19,1
"OPEN SPACE BY DISPENSARY, AIYEGUNLE",8.036311,6.0427732,15,35,42,0
"OPEN SPACE -AIYEGUNLE, AME-DAUDU",7.3751243,6.0891032,11,20,14,0
OPEN SPACE BY UBIANEGBA,7.3751243,6.0891032,78,35,20,0
"OGUGU SECONDARY SCHOOL, OGUGU.",7.3751243,6.0891032,60,28,83,0
"OPEN SPACE BY OGUGU MARKET, OGUGU.",7.3751243,6.0891032,86,33,78,0
AKOKO EDO GRAM SCH JNR,7.2977184,6.2482149,66,67,61,0
AKOKO EDO GRAM SCH SNR,7.2977184,6.2482149,24,57,40,0
UNEME-NEKHUA PRY SCH I,7.2977184,6.2482149,142,89,46,1
UNEME-NEKHUA PRY SCH II,7.2977184,6.2482149,33,81,80,0
"OPEN SPACE - FRONT OF CENTRAL MOSQUE, UNEME-NEKHUA",7.2977184,6.2482149,12,23,2,0
OPEN SPACE -FRONT OF HEALTH CENTER UNEME-NEKHUA,7.2977184,6.2482149,4,26,2,1
OPEN SPACE -FRONT OF CSDP SKILL ACQUISITION CENTER EKPEDO,7.2977184,6.2482149,116,31,33,0
"OPEN SPACE -FRONT OF THE APOSTOLIC CHURCH, EKPEDO",7.2977184,6.2482149,21,35,24,0
COMPREHENSIVE HIGH SCH. EKPEDO,7.2977184,6.2482149,71,53,50,0
"OPEN SPACE -FRONT OF SHOPPING MALL, EKPEDO",7.2977184,6.2482149,37,103,92,0
FRONT OF EKPEDO CENTRAL MOSQUE,7.2977184,6.2482149,8,121,38,0
"OPEN SPACE -COMPREHENSIVE HEALTH CENTER, EKPEDO",7.2977184,6.2482149,25,79,53,0
UNEME-OSU TOWN HALL,7.2977184,6.2482149,34,13,25,0
OSU MIXED SECONDARY COMMERCIAL GRAM SCH JNR,7.2977184,6.2482149,37,27,10,0
OSU MIXED SECONDARY COMMERCIAL GRAM. SCH SNR,7.2977184,6.2482149,23,38,13,0
OSU MIXED SECONDARY COMMERCIAL GRAM. SCH SNR,7.2977184,6.2482149,28,30,7,0
OPEN SPACE -UNEME-ERHURUN COTTAGE HOSPITAL,7.2977184,6.2482149,14,10,4,0
OPEN SPACE BY UNEME-ERHURUN AGBOMEMEH ROYAL SQUARE,7.2977184,6.2482149,42,24,3,0
OPEN SPACE BY UNEME-ERHURUN UGELE MARKET,7.2977184,6.2482149,12,14,3,0
"OPEN SPACE BY OLD C.A.C, AFELELU",7.2977184,6.2482149,39,17,2,1
"OPEN SPACE BESIDE NO 46,OLD SILUKO ROAD",6.3844311,5.5713372,5,62,2,0
EGOR HEALTH CENTRE EGOR I,6.354855,5.5879017,0,0,0,0
"OPEN SPACE BESIDE THE TRANSFORMER BY PALACE JUNCTION, EGOR",6.3736358,5.6118808,3,50,2,0
"OPEN SPACE BY OLD ROAD,  SAWMILL, EGOR",6.3795312,5.5747823,0,0,0,0
"OPEN SPACE BESIDE GOD'S ANOINTED GRACE ASSEMBLY,EGOR",6.3859099,5.5617749,4,71,8,0
"OPEN SPACE- WINNERS STREET JUNCTION ALONG OLD SILUKO ROAD,EGOR",6.3795312,5.5747823,24,129,3,2
"OPEN SPACE, OPPOSITE EGOR MARKET",6.3795312,5.5747823,13,59,0,0
OPEN SPACE BY VICTORY FOUNDATION ACADEMY VINCENT STR. EGOR,6.3129601,5.6075015,6,35,5,0
OPEN SPACE BESIDE NO 8 AMEGOR STREET,6.3736358,5.6118808,4,29,5,0
"OPEN SPACE BESIDE NO 9 OSAYI LANE OFF OSAYAMERE STREET, EGOR",6.3795312,5.5747823,1,20,0,0
"OPEN SPACE BESIDE NO 18,NIPOST ROAD, UPPER SILUKO, BESIDE THE APOSTOLIC CHURCH",6.3685233,5.580895,0,0,0,0
OPEN SPACE BY ST RAPHAEL CATHOLIC CHURCH EVBAREKE,43.354497,-79.7665457,6,65,1,0
OPEN SPACE BY PREVAILING SAINTS GLOBAL ASSEMBLY,6.3589818,5.6044118,25,45,6,0
"OPEN SPACE, SKILL AND UNSKILL LABOURER OTOTE JUNCTION",6.3652643,5.6020156,48,44,6,0
OPEN SPACE UNDER A TREE OGHOGHO JUNCTION,6.384815,5.6097147,23,84,17,0
OPEN SPACE FAN MILK BY OMOKARO JUNCTION I,6.602181,3.3707374,34,39,10,0
OPEN SPACE FAN MILK BY OMOKARO JUNCTION II,6.602181,3.3707374,0,0,0,0
"OPEN SPACE BY EVBAREKE JUNCTION, TEXTILE MILL RD",6.3594045,5.6122726,17,117,20,0
BASO INT SCH  JUNCTION I,6.3646745,5.6153157,19,34,8,0
BASO/INT SCH  JUNCTION II,6.353693,5.587476,12,41,3,0
"OPEN SPACE BY AIRHIENBUWA JUNCTION, EVBAREKE",6.3736358,5.6118808,8,19,0,0
ADAMS INT SCH. EVBAREKE I,6.3657247,5.6114699,20,54,7,3
ADAMS INT SCH. EVBAREKE II,6.3657247,5.6114699,16,21,4,0
EVBAREKE GRAM SCH I,6.3657247,5.6114699,0,0,0,0
EVBAREKE GRAM SCH II,6.3648122,5.6153391,0,0,0,0
OBA EWUARE  PRY SCH EVBAREKE I,6.3482618,5.6226289,0,0,0,0
OPEN SPACE -OSAROBO/ODIASE JUNCTION,6.2942106,5.6104388,5,59,7,0
OPEN SPACE -OMOSEFE/AKHARI JUNCTION,6.3498395,5.6172515,10,41,7,0
"OPEN SPACE, EVBAREKE SPARE PART JUNCTION I",6.3642472,5.6089664,4,33,1,0
"OPEN SPACE, COMMUNITY SKILL DEV JUNCTION I",6.3736358,5.6118808,10,41,7,0
OPEN SPACE -IZEKOR/AIGBEDION JUNCTION,6.2975553,5.6540929,0,0,0,0
"OPEN SPACE,OMOREGIE AKENZUA JUNCTION I",6.3599401,5.6080202,11,35,7,0
"OPEN SPACE,OMOREGIE AKENZUA JUNCTION I",6.3599401,5.6080202,10,40,5,0
"OPEN SPACE, OBARASE JUNCTION I",6.3736358,5.6118808,5,30,9,1
"OPEN SPACE, OBARASE JUNCTION I",6.3736358,5.6118808,6,34,3,0
OPEN SPACE OGIDA MARKET JUNCTION BY SILUKO OKHOKHUGBO,6.3795312,5.5747823,7,45,1,1
"OPEN SPACE OPP. OGIDA BARRACKS BY UNITY STREET JUNCTION, UPPER SILUKO",6.362568,5.5910248,5,46,5,0
OPEN SPACE MOBILE AVENUE JUNCTION BY CON OIL,6.3946055,5.6100683,3,75,6,0
"OPEN SPACE BY IGBINEWEKA STREET JUNCTION,BESIDE MENDE PETROL STATION",6.3592959,5.6209851,3,24,2,0
"OPEN SPACE BY ENINA GROUP OF SCHOOL JUNCTION, OMOGIATE STR.",6.3523316,5.6040239,10,61,0,0
"OPEN SPACE OGIDA STREET JUNCTION BY TRAFFIC LIGHT, OKHOKHUGBO",6.3576947,5.5767572,17,40,3,0
OPEN SPACE BY  EKHATOR STREET JUNCTION OKHOKHUGBO.,6.3736358,5.6118808,18,102,3,0
OPEN SPACE AKUGBE STREET JUNCTION BY AKARA DEPOT.,6.3617534,5.5774814,7,75,2,0
"OPEN SPACE FRONT OF HI TECH CONSTRUCTION, OKHOKHUGBO",5.568737,5.7375631,6,52,1,0
"OPEN SPACE BY PALACE ROAD JUNCTION, SILUKO",6.3550456,5.5988281,17,70,5,0
"OPEN SPACE, OWENVBIUGIE STREET JUNCTION, CLOSE TO CAGHOL PETROL STATION, OKHOKHUGBO",6.3681275,5.5987215,1,7,0,0
"OPEN SPACE ENINA NUR/PRIMARY SCHOOL, OGIDA/USEH",6.3580168,5.5945568,11,47,0,1
"OPEN SPACE OLOMUZA MARKET JUNCTION, OGIDA/USEH",6.3650035,5.5831518,11,48,5,1
"OPEN SPACE, HOPEWELL GRP OF SCH II BY AIBANGBEE STR",40.3175322,-74.8911109,5,71,4,1
EGOR HEALTH CENTER BY USEH ROAD - OPEN SPACE I,6.367118,5.578452,3,88,13,0
EGOR HEALTH CENTER BY USEH ROAD - OPEN SPACE II,6.367143,5.578415,23,116,3,3
OPEN SPACE IGBINADUWA JUNCTION KEKENAPEP BUSSTOP,8.99732,7.4670875,9,92,3,0
EGOR HEALTH CARE CENTER BY OKHOKHUGBO,6.354855,5.5879017,3,30,7,0
USEH COMMUNITY TOWN HALL I BY OMOJUWA STR.,6.3704987,5.6173458,7,52,1,0
USEH COMMUNITY TOWN HALL II,6.3613494,5.6190136,12,89,6,2
OPEN SPACE BESIDE OGIDA PALACE BY OBAYUWANA JUNCTION OGIDA,6.3568467,5.5972977,0,18,4,0
OPEN SPACE CLOSE TO USEH COMMUNITY TOWN HALL OMOJUWA STR. OKHOKHUGBO,6.3650035,5.5831518,20,115,6,0
BLESSED ASSURANCE NUR/PRI SCHOOL I,6.3526305,5.5843761,9,62,5,2
BLESSED ASSURANCE NUR/PRI SCHOOL II,6.3526305,5.5843761,5,40,3,0
OPEN SPACE BY  OWENBOR STREET JUNCTION OGIDA QTRS BY OKHOKHUGBO,6.2174476,5.628558,9,43,2,0
"BLESSED ASSURANCE NUR/PRI SCHOOL BY ODEH STR., OKHOKHUGBO",6.3351034,5.6044783,0,8,0,0
USEH SECONDARY SCHOOL,6.3598255,5.5705133,18,124,2,2
"OPEN SPACE BY OGIDA POLICE STATION BY SILUKO RD, OKHOKHUGBO  I",6.3645466,5.5878684,0,0,0,0
"OPEN SPACE, OGIDA POLICE STATION BY SILUKO RD, OKHOKHUGBO  III",6.3645466,5.5878684,18,109,6,1
OPEN SPACE OPPOSITE OPP. OKHORO SAWMILL,6.3736358,5.6118808,7,45,2,1
OPEN SPACE FIRST FEDERAL ROAD JUNCTION BY OKHORO I-I,6.3736358,5.6118808,5,85,1,0
OPEN SPACE FIRST FEDERAL ROAD BY OKHORO I- I,6.3736358,5.6118808,11,47,2,0
OPEN SPACE SECOND FEDERAL JUNCTION BY OKHORO ROAD I-II,6.3578344,5.6225646,10,48,4,0
"OPEN SPACE SECOND FEDERAL JUNCTION BY REDEEMED CHURCH, OKHORO ROAD",6.3623088,5.6715207,14,53,2,0
OPEN SPACE CREATIVE LECTURES BY OKHORO ROAD,6.3640089,5.6265869,2,55,1,0
"OPEN SPACE- SECOND, OMOZOJIE OKHORO JUNCTION",6.3578344,5.6225646,4,42,4,0
"OPEN SPACE OKHORO, FIRST IYAYI SAWMILL OPPOSITE COMPASSION CHURCH, OKHORO I-I",42.9348564,-81.208908,6,80,4,1
"OPEN SPACE OKHORO,FIRST IYAYI SAWMILL OPPOSITE COMPASSION CHURCH, OKHORO I-II",42.9348564,-81.208908,21,98,4,0
"OPEN SPACE EKIOMADO, OPP CHURCH OF GOD MISSION. OKHORO",43.461235,-80.517465,10,59,3,0
OPEN SPACE BY EDOWADIAGBON PALM-WINE JOINT OKHORO,6.3668743,5.6365051,8,53,6,1
"OPEN SPACE BY OKHORO, SECOND IYAYI SAWMILL JUNCTION, OKHORO",7.0540183,6.2826617,9,69,4,1
"OPEN SPACE BY AKENZUA STR, OFF OKHORO ROAD, OKHORO",6.3640089,5.6265869,0,57,3,0
"OPEN SPACE- BY OROSAYE JUNCTION , OKHORO",6.3640089,5.6265869,5,93,7,0
"OPEN SPACE BY  40, OKHORO ROAD JUNCTION OPPOSITE MOUNTAIN OF FIRE MINISTRIES",6.3638672,5.6285532,6,75,7,0
"OPEN SPACE AKPEGA ST, OKHORO ROAD",6.3640089,5.6265869,8,70,2,0
OPEN SPACE BY  OMOGIATE STREET OKHORO JUNCTION,6.3578344,5.6225646,3,53,5,0
"OPEN SPACE, UNIVERSAL STREET OKHORO ROAD BEHIND TRANSFORMER",6.3777698,5.6337097,11,130,5,0
OPEN SPACE BY IKPOBA DAM BY OKHORO POLICE STATION.,6.3777382,5.6389646,4,53,0,0
"OKHORO, IKPOBADAM BY POLICE STATION",6.3777382,5.6389646,10,94,5,0
